publishable,flesch_kincaid_grade_level,gunning_fog_index,dale_chall,smog_index,table_count,table_citation_presence,table_density,no_of_columns_per_page_of_table,title_abstract_consistency,presence_of_opposite_number_of_sections,reference_count,figures_to_text_ratio,equation_density,technical_jargon_score,novelty_score,interdisciplinary_impact_score
0,9.2,8.5,7.07,11.9,5.0,1,0.4545454545454545,4.4,0.5672411248087883,3.0,33.0,0.0,0.0124005615348619,0.0062157221206581,0.4600808083017668,0.1363239736988667
0,11.2,9.73,7.58,13.1,2.0,1,0.1428571428571428,1.5,0.674285501241684,1.0,72.0,0.0006343165239454,0.005708848715509,0.0120868278243709,0.3595114074840447,0.3109831677179175
0,7.1,8.18,6.39,10.9,0.0,0,0.0,0.0,0.5493858233094215,2.0,42.0,0.0,0.0103875349580503,0.0080719557195571,0.4749001775702385,0.0339969868771731
0,11.1,10.9,8.15,12.8,4.0,0,0.6666666666666666,13.0,0.5731804817914963,4.0,12.0,0.0,0.0201729106628242,0.0037059913526868,0.5416698299921476,0.1301038560760924
0,11.8,10.58,7.98,13.3,6.0,0,1.0,3.3333333333333335,0.0,4.0,0.0,0.0,0.0057317539166985,0.0208657739022111,0.6373507435310561,0.042373746493477
0,9.4,9.05,6.57,11.7,4.0,0,0.1081081081081081,10.25,0.611347958445549,2.0,178.0,0.0,0.016146149181322,0.0109295774647887,0.5121834904806954,0.0688603003588422
0,13.9,11.51,8.1,15.1,7.0,1,0.5384615384615384,4.285714285714286,0.7378213107585907,2.0,42.0,0.0,0.0,0.0123418697932736,0.4813713886470439,0.2495502593027566
0,10.1,9.28,7.38,12.5,7.0,1,0.4375,4.714285714285714,0.5096166469156742,3.0,33.0,0.0,0.0059403071573456,0.0109689213893967,0.5362369283157237,0.0680623921385745
0,9.1,9.08,6.74,11.9,0.0,0,0.0,0.0,0.700485348701477,3.0,93.0,0.0019809451938496,0.0090557494575983,0.0128545479949699,0.5119197823499378,0.2057504592701206
0,9.3,9.67,7.18,12.2,0.0,0,0.0,0.0,0.7434808313846588,3.0,15.0,0.000448296473401,0.0059772863120143,0.0184190330007674,0.3918706531110017,0.0616776100822831
0,10.5,9.11,6.53,12.4,3.0,1,0.0967741935483871,6.0,0.7682621479034424,2.0,64.0,0.0,0.0064499144399104,0.0070193818753273,0.471254056553508,0.0567879454104526
0,11.2,10.21,7.16,13.6,93.0,0,9.3,3.053763440860215,0.7556930184364319,2.0,49.0,0.0,0.0040592168099331,0.0033544539694371,0.566058945980939,0.2280163006537587
0,8.8,9.04,7.02,12.0,1.0,0,0.0909090909090909,4.0,0.0,3.0,23.0,0.0,0.0042849491162292,0.014065335753176,0.5865684007351496,0.008763637766242
0,10.3,9.82,7.59,12.9,0.0,0,0.0,0.0,0.6317101716995239,3.0,0.0,0.0022044640396803,0.0046844860843207,0.020066889632107,0.6422885971872703,0.1548120616573604
0,8.9,8.49,6.32,12.1,1.0,0,0.04,3.0,0.5864383727312088,4.0,54.0,0.0,0.0060090135202804,0.0146032776245335,0.5910867505087825,0.0596363818697322
0,8.7,8.55,6.96,11.8,1.0,0,0.0625,8.0,0.5456366650760174,3.0,24.0,0.0,0.0139544869042507,0.0057645631067961,0.5705811023712158,0.0206183394417166
0,9.3,8.07,6.58,12.6,61.0,1,3.210526315789474,6.311475409836065,0.5448651760816574,2.0,71.0,0.0,0.0093870271285084,0.0099697885196374,0.3562246288261275,0.0678416242734486
0,10.6,9.07,6.48,13.2,1.0,1,0.0625,3.0,0.5465878769755363,3.0,81.0,0.0,0.0045045045045045,0.0172286031863653,0.4548459099449274,0.0550126258283853
0,8.5,8.19,6.53,11.6,6.0,0,0.1935483870967742,4.333333333333333,0.5549627020955086,1.0,0.0,0.0,0.0081769730597941,0.0078496406854615,0.3448481506459853,0.1916120352881772
0,11.4,10.39,8.45,13.9,7.0,0,1.1666666666666667,6.285714285714286,0.7220441699028015,3.0,36.0,0.0019395954558049,0.0027708506511499,0.0071333036112349,0.4983128168366172,0.0443300889294065
0,11.2,10.77,7.31,13.8,5.0,0,1.0,6.6,0.5081132594496012,3.0,0.0,0.0,0.0047826086956521,0.0072488781498101,0.7062682271003724,0.1618933815368112
0,11.0,9.86,7.07,12.8,3.0,1,0.1764705882352941,5.666666666666667,0.7907209992408752,2.0,0.0,0.0,0.0058067192036499,0.0092406588991562,0.4456322175557496,0.0784061457721518
0,12.9,10.65,7.48,14.5,3.0,0,0.4285714285714285,5.333333333333333,0.603522427380085,2.0,54.0,0.0013803983435219,0.0011831985801617,0.0018867924528301,0.438656845602017,0.1542803877437658
0,9.5,9.39,7.64,12.0,3.0,1,0.1875,5.333333333333333,0.0,5.0,0.0,0.0,0.000867929986981,0.0006393861892583,0.6160455423696288,0.0232834514230489
0,3.2,7.16,12.78,3.1,7.0,0,0.7,8.714285714285714,0.0,8.0,0.0,0.0,0.0007604562737642,0.0,0.6498574852943421,0.0
0,11.0,11.17,8.38,13.5,2.0,1,0.5,12.0,0.5357374623417854,3.0,19.0,0.0,0.0064384954252795,0.0136626379400945,0.5710898150415982,0.1578458902445623
0,7.6,7.34,5.3,10.3,3.0,0,0.0344827586206896,5.666666666666667,0.5191770326346159,2.0,0.0,0.0,0.0076300338825233,0.005961707494172,0.4142775367457291,0.1233267989630033
0,8.5,8.56,6.85,11.3,2.0,1,0.1333333333333333,4.0,0.653779000043869,2.0,12.0,0.0005836575875486,0.0188715953307393,0.0059488399762046,0.6054139982099118,0.25602195262056
0,12.6,11.04,7.6,14.2,62.0,0,8.857142857142858,1.8064516129032255,0.8481691777706146,2.0,0.0,0.0,0.0002059308072487,0.0027294438758103,0.5559293276733823,0.2845443194685162
0,11.0,9.43,7.29,13.2,5.0,0,0.2083333333333333,6.6,0.0,1.0,77.0,0.0017818959372772,0.0104537894986932,0.0032039871840512,0.3917583166851717,0.0391667896723834
0,8.0,7.25,5.76,10.9,0.0,0,0.0,0.0,0.5574501380324364,3.0,63.0,0.0,0.0072592067988668,0.0014675667742882,0.3343514871241442,0.1208726235968777
0,10.3,9.18,7.05,13.4,37.0,1,4.625,3.8378378378378377,0.0,2.0,90.0,0.0,0.0037609694943585,0.0041899441340782,0.516863958577852,0.1393252353939363
0,14.5,10.56,6.22,15.9,5.0,1,0.0961538461538461,3.4,0.5802379995584488,1.0,97.0,0.0014458071592382,0.0024927709642038,0.0053493814777666,0.4712700084808769,0.1305011796564986
0,9.2,10.5,6.69,10.9,0.0,0,0.0,0.0,0.0,7.0,0.0,0.0001232285890326,0.003573629081947,0.0118778280542986,0.5881187796592713,0.0576281109310992
0,8.2,7.57,6.06,11.5,1.0,1,0.05,2.0,0.5431024730205536,2.0,29.0,0.0,0.0010788779669144,0.0101378751013787,0.5110301247457179,0.1316563680745872
0,10.6,8.78,6.31,13.0,9.0,1,0.2368421052631578,5.888888888888889,0.5082874335348606,1.0,0.0,0.0,0.0072183403591846,0.0323190789473684,0.4758009203549089,0.0646650675669208
0,10.4,8.74,7.28,12.9,0.0,0,0.0,0.0,0.5214666184037924,2.0,54.0,0.0008910008910008,0.002079002079002,0.0153882023781767,0.4830476242092858,0.1728593237992141
0,11.5,11.46,7.74,14.1,1.0,0,0.125,5.0,0.4966392498463392,1.0,36.0,0.0,0.0153104026845637,0.0100456621004566,0.3873542850056002,0.0644480919505867
0,9.2,6.64,6.09,12.3,55.0,0,0.5445544554455446,10.436363636363636,0.4810197502374649,4.0,0.0,0.0008743690632327,0.0067167441675609,0.0004030632809351,0.6084211468696594,0.002363957837224
0,10.0,8.27,6.22,12.8,119.0,1,2.2037037037037037,3.857142857142857,0.6803108155727386,1.0,0.0,0.0002843467134259,0.0034595516800151,0.0106446330206937,0.4953796469796021,0.0940174162796424
0,10.1,8.61,6.4,13.5,15.0,1,1.0714285714285714,3.466666666666667,0.5253265146166086,3.0,114.0,0.0,0.006348951217552,0.0083405950454375,0.4078882264001721,0.270669156669368
0,10.1,9.42,7.18,12.7,6.0,1,0.5454545454545454,3.6666666666666665,0.5195987988263369,2.0,39.0,0.0012756729174639,0.006761066462559,0.0128258171286719,0.5321020436286926,0.069442438862002
0,9.6,8.39,6.54,12.0,0.0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0020250368188512,0.0092651757188498,0.6510315839733396,0.0433278756216168
0,11.4,9.62,7.24,13.8,2.0,0,0.1333333333333333,2.0,0.6782459765672684,2.0,1.0,0.0003988831272437,0.001396090945353,0.0175040518638573,0.583485639305451,0.1188943709225428
